year,chsa_code,chsa_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2008,2210,New Westminster,47,58,52,48,55,44,37,36,41,34,47,48,547
2008,2221,Burnaby Northwest,23,27,23,23,23,18,18,20,18,25,14,24,256
2008,2222,Burnaby Northeast,11,19,17,17,14,13,23,15,20,11,12,25,197
2008,2223,Burnaby Southwest,54,50,44,52,49,43,45,36,50,37,46,37,543
2008,2224,Burnaby Southeast,26,32,40,39,31,30,30,40,34,35,40,36,413
2008,2231,Haney,24,27,25,16,20,20,14,19,28,27,19,24,263
2008,2232,Pitt Meadows,3,7,13,4,12,5,13,3,11,5,9,7,92
2008,2233,Maple Ridge Rural,19,18,19,18,21,17,17,24,19,16,24,20,232
2008,2241,North Coquitlam,1,3,7,4,7,8,2,6,7,4,1,8,58
2008,2242,Southwest Coquitlam,38,24,31,26,30,37,31,28,31,25,26,38,365
2008,2243,Southeast Coquitlam,8,15,9,15,13,8,14,14,11,8,8,8,131
2008,2244,Port Coquitlam,26,25,16,22,26,25,21,16,20,20,23,25,265
2008,2245,Port Moody/Anmore/Belcarra,11,12,10,11,11,11,10,11,12,8,8,13,128
2008,2311,City of Langley,24,25,24,35,27,21,18,15,20,38,20,30,297
2008,2312,Walnut Grove/Fort Langley,16,12,20,23,7,16,15,7,10,16,15,21,178
2008,2313,Willoughby,5,5,3,6,2,1,6,5,7,4,5,6,55
2008,2314,Brookswood/Murrayville,21,16,16,12,22,13,19,14,8,17,22,13,193
2008,2315,Aldergrove/Otter,4,5,10,8,7,6,15,7,7,7,8,14,98
2008,2316,North Langley Township,8,4,2,8,2,6,6,6,6,4,7,7,66
2008,2317,South Langley Township,5,6,8,1,10,6,4,6,6,2,6,8,68
2008,2321,North Delta,29,22,22,27,30,19,17,21,16,16,10,28,257
2008,2322,Ladner,24,17,25,14,31,10,17,22,12,26,16,18,232
2008,2323,Tsawwassen,25,12,12,11,18,12,17,9,11,20,17,14,178
2008,2331,Whalley,34,17,20,21,25,18,15,18,17,19,15,23,242
2008,2332,North Surrey,26,30,31,35,27,28,28,33,29,28,33,25,353
2008,2333,Cloverdale,30,15,16,16,17,13,10,20,14,26,16,17,210
2008,2334,Panorama,12,5,12,9,8,12,4,9,9,11,8,10,109
2008,2335,East Newton,25,18,25,26,18,20,19,23,19,21,18,26,258
2008,2336,Fleetwood,24,15,24,23,22,19,21,27,14,20,21,26,256
2008,2337,Guildford,32,18,25,21,18,17,17,25,19,23,14,24,253
2008,2338,West Newton,8,11,11,15,15,2,11,16,7,12,11,16,135
2008,2341,South Surrey,56,43,61,47,38,48,34,49,45,42,62,59,584
2008,2342,White Rock,27,20,28,20,23,26,19,20,17,29,29,23,281
2008,3111,Richmond City Centre,19,22,22,25,22,25,19,25,28,16,23,31,277
2008,3112,Blundell,6,17,15,7,6,6,7,6,8,9,5,13,105
2008,3113,Broadmoor,15,10,11,10,15,6,7,10,3,10,9,15,121
2008,3114,Thompson/Seafair,17,12,14,15,8,12,9,8,11,8,9,14,137
2008,3115,Steveston,9,8,10,12,11,9,4,18,14,14,10,5,124
2008,3116,East and West Cambie/Bridgeport,5,9,7,7,8,5,1,6,5,7,12,4,76
2008,3117,Gilmore/Shellmont/East/Hamilton,13,8,8,7,8,4,8,5,5,4,9,12,91
2008,3211,Downtown Vancouver,12,15,9,8,9,9,7,12,5,8,8,7,109
2008,3212,West End,20,22,21,19,18,20,17,24,14,22,28,19,244
2008,3213,Fairview,24,14,24,21,23,23,20,22,14,28,16,16,245
2008,3221,Downtown Eastside,34,23,29,25,21,26,28,14,32,22,17,21,292
2008,3222,Northeast False Creek,2,4,2,1,1,2,1,1,4,1,2,1,22
2008,3223,Grandview-Woodland,22,15,12,15,12,7,12,13,10,16,12,22,168
2008,3231,Cedar Cottage,10,2,10,9,8,6,5,7,6,6,14,6,89
2008,3232,Hastings-Sunrise,26,22,15,27,12,15,15,11,24,21,18,24,230
2008,3233,Renfrew-Collingwood,25,21,26,22,24,23,16,21,29,18,16,11,252
2008,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,23,26,32,30,25,25,22,34,18,23,33,26,317
2008,3242,West Point Grey/Dunbar-Southlands,16,20,14,19,16,8,15,11,13,9,13,16,170
2008,3243,University of British Columbia,4,0,5,4,3,6,3,1,3,6,5,4,44
2008,3244,Kitsilano,14,12,12,13,8,14,21,12,11,12,16,12,157
2008,3251,Kensington,15,14,10,11,9,12,11,22,6,12,8,10,140
2008,3252,Mount Pleasant,13,14,12,13,8,10,6,6,11,11,12,13,129
2008,3253,South Cambie/Riley Park,16,22,25,12,15,18,8,13,14,21,22,17,203
2008,3261,Killarney,19,14,13,26,13,15,14,14,15,22,15,12,192
2008,3262,Oakridge/Marpole,23,31,19,23,18,22,24,24,19,30,19,33,285
2008,3263,Sunset,10,12,16,16,16,5,16,19,7,18,5,13,153
2008,3264,Victoria-Fraserview,19,16,16,27,26,10,22,18,13,20,17,16,220
2008,3311,North Vancouver City - East,14,15,10,10,13,13,15,14,13,17,20,2,156
